brand_name,model_name,store_name,store_id,price_brl,url,is_active,id,paddle_id,last_updated,version_id
Starvie,Astrum,yoSports,17,600.0,https://yosports.com.br/products/raquete-de-pickleball-starvie-astrum,True,82,20286ce9-6952-4edd-ab89-7b1359845ade,2026-03-22 20:48:08.952055,
Joola,Tyson Mcguffin Magnus Pro Iv,yoSports,17,1599.0,https://yosports.com.br/products/raquete-de-pickleball-joola-tyson-mcguffin-magnus-pro-iv-14mm,True,83,affb73a1-d97f-4094-81fc-d18c0790bd3f,2026-03-22 20:48:08.959721,
Joola,Tyson Mcguffin Magnus 3S,yoSports,17,1299.0,https://yosports.com.br/products/raquete-de-pickleball-joola-tyson-mcguffin-magnus-3s-16mm,True,84,5f9546ca-019e-4eb1-a823-22d2fa52170a,2026-03-22 20:48:08.966942,
Joola,Graf Pro Iv,yoSports,17,1599.0,https://yosports.com.br/products/raquete-de-pickleball-joola-graf-pro-iv-16mm,True,85,d1b365c8-29a2-4632-9506-2bcb15617d16,2026-03-22 20:48:08.974927,
Joola,Graf Edge Ss25,yoSports,17,799.0,https://yosports.com.br/products/raquete-de-pickleball-joola-graf-edge-ss25-16mm,True,86,205ff225-4772-409f-bbbc-bd2ee6e9051d,2026-03-22 20:48:08.982074,
Joola,Collin Johns Scorpeus Pro Iv,yoSports,17,1599.0,https://yosports.com.br/products/raquete-de-pickleball-joola-collin-johns-scorpeus-pro-iv-16mm,True,87,526b5e14-3314-4c26-8b42-b164eed262a4,2026-03-22 20:48:08.989720,
Joola,Collin Johns Scorpeus 3S,yoSports,17,1299.0,https://yosports.com.br/products/raquete-de-pickleball-joola-collin-johns-scorpeus-3s-16mm,True,88,a610c328-cf21-4f77-938a-9a55197946e4,2026-03-22 20:48:08.997427,
Joola,Ben Johns Perseus Pro Iv,yoSports,17,1599.0,https://yosports.com.br/products/raquete-de-pickleball-joola-ben-johns-perseus-pro-iv-16mm,True,71,2509c48a-dc75-43f8-bec0-7e3ab2150051,2026-03-22 20:48:09.003144,
Joola,Ben Johns Perseus 3S,yoSports,17,1299.0,https://yosports.com.br/products/raquete-de-pickleball-joola-ben-johns-perseus-3s-16mm,True,70,34300b74-5c1d-4956-85ec-91bb4067a598,2026-03-22 20:48:09.009791,
Joola,Ben Johns Hyperion Pro Iv,yoSports,17,1599.0,https://yosports.com.br/products/raquete-de-pickleball-joola-ben-johns-hyperion-pro-iv-16mm,True,89,34f6268e-e684-4b2d-bd50-d16323b4a337,2026-03-22 20:48:09.020306,
Joola,Anna Bright Scorpeus Gen 3,yoSports,17,699.0,https://yosports.com.br/products/raquete-de-pickleball-joola-anna-bright-scorpeus-gen-3-14mm,True,90,73c3cecb-004c-4d3d-bebb-cc2f4a2b0096,2026-03-22 20:48:09.029338,
